date,HuoD,XiD,FaD
2010-09-28,0.851660801,1.041851208,0.87963761
2010-09-29,0.84949507,1.072606887,0.876459534
2010-09-30,0.858244323,1.141807412,0.885147342
2010-10-08,0.875428173,1.255988057,0.902375936
2010-10-11,0.913789468,1.38170221,0.942913797
2010-10-12,0.924807905,1.425913598,0.950666594
2010-10-13,0.920422569,1.370937775,0.947782092
2010-10-14,0.908970746,1.508185338,0.938199817
2010-10-15,0.925722081,1.475507376,0.954287314
2010-10-18,0.935736589,1.337490984,0.960463083
2010-10-19,0.942822429,1.412842547,0.967781681
2010-10-20,0.927509334,1.364786738,0.951920253
2010-10-21,0.929650329,1.42937385,0.951782933
2010-10-22,0.927026641,1.464358609,0.952777268
2010-10-25,0.93863552,1.610832982,0.967725137
2010-10-26,0.935918815,1.568543714,0.966691777
2010-10-27,0.926468654,1.490501038,0.955746795
2010-10-28,0.924422849,1.467049705,0.956428778
2010-10-29,0.920662095,1.490501038,0.95396788
2010-11-01,0.93279906,1.639666523,0.969860098
2010-11-02,0.932937904,1.575079411,0.974939197
2010-11-03,0.922525402,1.503187772,0.963678558
2010-11-04,0.934741792,1.503187772,0.974050763
2010-11-05,0.946046073,1.551243582,0.982880245
2010-11-08,0.962304984,1.522410041,1.000449725
2010-11-09,0.955677428,1.552012411,0.997152425
2010-11-10,0.945776594,1.616984019,0.989901019
2010-11-11,0.951541891,1.565083625,0.996773405
2010-11-12,0.897862337,1.411304907,0.947129639
2010-11-15,0.910718042,1.368246826,0.958610211
2010-11-16,0.877676917,1.231383661,0.92027513
2010-11-17,0.864559996,1.201396795,0.903639771
2010-11-18,0.867834905,1.23791926,0.907728994
2010-11-19,0.878127155,1.21715904,0.920078854
2010-11-22,0.877042115,1.222541348,0.918680323
2010-11-23,0.862675487,1.168718833,0.90109133
2010-11-24,0.877454788,1.189863451,0.916583443
2010-11-25,0.890693375,1.245608266,0.932066953
2010-11-26,0.884726823,1.195245676,0.924271408
2010-11-29,0.884335678,1.144883168,0.924983866
